school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3
1.0,1.0,18,0.0,0.0,1.0,3,2,2.0,2.0,0.0,1.0,2,1,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5,5,5,10,11,13,13
1.0,1.0,17,1.0,0.0,1.0,2,3,2.0,3.0,1.0,0.0,2,2,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4,4,3,3,2,11,11,10
0.0,0.0,16,1.0,0.0,1.0,4,2,3.0,2.0,0.0,1.0,1,2,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4,2,3,5,2,15,16,16
0.0,0.0,16,0.0,0.0,1.0,3,3,3.0,2.0,3.0,0.0,1,3,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4,1,2,2,0,7,10,10
0.0,1.0,18,1.0,0.0,1.0,4,4,2.0,2.0,0.0,1.0,1,3,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4,3,3,3,3,9,12,11
0.0,1.0,16,1.0,0.0,1.0,0,2,2.0,2.0,2.0,1.0,1,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4,3,2,5,0,13,15,15
0.0,1.0,16,1.0,1.0,1.0,2,2,2.0,2.0,1.0,1.0,1,2,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4,4,4,3,0,12,12,11
0.0,0.0,17,1.0,0.0,1.0,2,2,2.0,2.0,0.0,1.0,1,2,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5,4,5,5,4,10,9,11
0.0,0.0,18,1.0,0.0,1.0,2,3,2.0,3.0,3.0,0.0,1,4,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,5,5,2,4,15,14,14
0.0,1.0,18,1.0,1.0,1.0,1,1,2.0,2.0,0.0,1.0,1,1,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2,3,5,4,0,6,5,0
0.0,0.0,15,1.0,0.0,1.0,4,4,4.0,1.0,3.0,1.0,1,2,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3,3,3,2,0,10,8,9
0.0,1.0,17,1.0,0.0,1.0,1,2,0.0,3.0,2.0,2.0,2,2,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4,4,4,5,12,7,8,8
0.0,0.0,15,1.0,0.0,1.0,3,2,3.0,2.0,1.0,1.0,2,2,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4,3,5,2,26,7,6,6
0.0,1.0,15,1.0,0.0,1.0,2,3,2.0,2.0,1.0,1.0,1,3,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5,3,2,5,4,11,10,11
0.0,1.0,18,1.0,0.0,1.0,4,2,4.0,2.0,1.0,1.0,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,2,5,11,12,11,11
1.0,1.0,18,1.0,1.0,1.0,4,4,4.0,3.0,2.0,1.0,2,3,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4,2,2,5,0,13,13,13
0.0,0.0,17,1.0,0.0,1.0,1,1,2.0,2.0,0.0,1.0,1,2,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4,4,4,1,4,9,9,10
0.0,0.0,18,1.0,0.0,1.0,3,2,2.0,3.0,2.0,1.0,1,3,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5,4,3,1,7,13,13,14
0.0,1.0,17,1.0,0.0,1.0,1,3,0.0,3.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,3,3,2,2,10,10,10
0.0,0.0,18,1.0,1.0,1.0,4,3,2.0,2.0,1.0,2.0,2,2,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4,4,5,2,10,10,8,8
0.0,1.0,16,1.0,1.0,0.0,4,4,4.0,1.0,3.0,1.0,1,2,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4,1,3,5,18,8,6,7
0.0,0.0,17,0.0,0.0,1.0,2,2,2.0,2.0,3.0,1.0,1,1,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5,3,2,3,18,7,6,6
0.0,0.0,15,1.0,0.0,1.0,1,2,0.0,2.0,0.0,1.0,1,2,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4,3,2,5,2,10,11,11
0.0,0.0,16,1.0,0.0,1.0,2,3,3.0,4.0,2.0,1.0,1,2,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2,3,1,3,2,16,16,17
0.0,0.0,16,1.0,1.0,1.0,3,1,2.0,2.0,1.0,0.0,1,2,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3,3,3,2,4,7,6,6
0.0,0.0,15,0.0,1.0,1.0,3,1,2.0,2.0,3.0,0.0,2,4,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4,4,2,3,12,16,16,16
0.0,1.0,16,1.0,0.0,1.0,4,4,1.0,2.0,0.0,1.0,1,1,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3,4,4,5,18,14,11,13
0.0,1.0,16,0.0,0.0,1.0,4,3,3.0,2.0,3.0,1.0,2,1,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3,3,3,4,2,11,15,15
0.0,0.0,16,1.0,1.0,1.0,1,1,0.0,0.0,0.0,1.0,1,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,4,4,1,2,14,14,13
0.0,1.0,18,1.0,1.0,1.0,4,4,4.0,4.0,1.0,1.0,1,1,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,4,2,1,5,16,15,16
0.0,0.0,16,1.0,0.0,1.0,2,1,2.0,2.0,0.0,1.0,1,2,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4,3,5,5,2,8,9,10
0.0,1.0,17,1.0,0.0,1.0,4,4,4.0,4.0,3.0,1.0,1,2,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,5,5,2,14,11,9,9
0.0,0.0,15,0.0,1.0,1.0,2,2,1.0,3.0,3.0,1.0,2,2,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4,1,3,4,2,8,9,8
0.0,1.0,16,1.0,1.0,1.0,2,2,2.0,2.0,3.0,1.0,2,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5,4,4,5,0,13,13,12
0.0,1.0,16,0.0,0.0,0.0,4,4,2.0,4.0,3.0,1.0,2,3,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,4,3,5,7,15,16,15
0.0,1.0,17,1.0,0.0,1.0,2,1,2.0,2.0,1.0,1.0,1,1,3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5,4,5,5,0,5,0,0
0.0,0.0,16,1.0,1.0,1.0,2,4,2.0,1.0,0.0,0.0,2,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,2,5,2,13,13,13
0.0,0.0,16,1.0,0.0,1.0,3,1,3.0,2.0,0.0,1.0,1,4,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4,3,3,5,4,7,7,6
0.0,1.0,16,1.0,0.0,1.0,4,3,4.0,2.0,1.0,1.0,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,4,3,3,10,9,8,8
0.0,0.0,16,1.0,0.0,1.0,1,1,0.0,2.0,1.0,1.0,2,1,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,3,2,5,6,9,9,10
0.0,0.0,18,0.0,1.0,1.0,1,1,0.0,2.0,3.0,1.0,2,4,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,2,2,3,1,12,12,12
1.0,0.0,18,0.0,0.0,1.0,4,4,2.0,4.0,2.0,0.0,3,2,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3,2,2,5,10,14,12,11
0.0,1.0,17,1.0,1.0,0.0,4,1,3.0,2.0,1.0,1.0,2,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4,5,4,5,30,8,8,8
0.0,1.0,15,1.0,0.0,1.0,3,4,3.0,3.0,1.0,0.0,1,1,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,5,5,5,0,13,13,12
0.0,0.0,15,1.0,0.0,1.0,3,2,1.0,3.0,1.0,0.0,1,2,3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3,3,2,3,0,6,7,0
0.0,0.0,17,1.0,0.0,0.0,2,1,2.0,2.0,0.0,1.0,2,3,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,2,3,3,10,12,10,12
0.0,0.0,16,1.0,1.0,1.0,2,2,0.0,2.0,0.0,1.0,1,2,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4,3,4,2,4,8,7,6
0.0,0.0,18,1.0,0.0,1.0,3,3,3.0,3.0,1.0,1.0,1,2,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,3,4,4,0,7,0,0
0.0,0.0,17,1.0,0.0,1.0,2,2,0.0,0.0,0.0,1.0,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,3,3,4,4,9,10,10
0.0,0.0,18,1.0,1.0,1.0,2,2,2.0,2.0,1.0,2.0,1,2,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4,3,3,2,0,8,8,0
0.0,0.0,17,1.0,1.0,1.0,2,4,3.0,3.0,0.0,0.0,1,2,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4,3,2,5,0,14,15,15
0.0,0.0,17,1.0,0.0,1.0,2,4,0.0,1.0,3.0,1.0,2,2,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4,3,3,1,2,10,10,10
0.0,0.0,18,1.0,0.0,1.0,4,3,2.0,2.0,3.0,0.0,1,4,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4,3,3,3,0,14,13,14
0.0,0.0,17,1.0,1.0,1.0,3,3,2.0,2.0,3.0,1.0,1,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,3,3,1,56,9,9,8
0.0,0.0,17,0.0,0.0,1.0,2,1,0.0,3.0,3.0,1.0,2,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4,2,5,5,2,6,6,6
0.0,1.0,19,1.0,0.0,1.0,1,2,2.0,3.0,0.0,2.0,1,2,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4,5,2,4,3,13,11,11
0.0,0.0,19,0.0,0.0,0.0,3,1,3.0,0.0,1.0,2.0,1,3,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5,4,3,5,12,14,13,13
0.0,0.0,18,1.0,0.0,1.0,4,4,1.0,1.0,3.0,0.0,1,2,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2,4,4,4,15,9,8,8
0.0,1.0,16,0.0,0.0,1.0,4,4,4.0,4.0,0.0,1.0,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3,5,5,4,8,18,18,18
0.0,0.0,15,0.0,0.0,1.0,3,4,3.0,1.0,0.0,1.0,1,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,3,2,5,2,12,12,11
0.0,0.0,15,1.0,0.0,1.0,2,1,3.0,2.0,3.0,0.0,3,3,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5,2,2,4,4,10,12,12
0.0,1.0,17,1.0,0.0,1.0,3,1,3.0,2.0,2.0,1.0,1,2,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4,4,5,2,9,9,10
0.0,1.0,17,1.0,0.0,1.0,3,3,3.0,3.0,2.0,1.0,1,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,3,4,4,12,12,12,11
0.0,1.0,16,1.0,0.0,1.0,4,4,1.0,2.0,3.0,0.0,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,2,4,1,2,14,13,13
0.0,0.0,16,1.0,0.0,1.0,2,2,0.0,2.0,1.0,1.0,1,2,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3,1,2,5,6,10,13,13
0.0,1.0,17,1.0,0.0,1.0,4,3,2.0,2.0,0.0,1.0,1,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,2,3,2,4,10,10,11
0.0,1.0,18,0.0,1.0,0.0,3,4,2.0,2.0,3.0,1.0,2,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,2,5,1,13,17,17,17
0.0,1.0,18,1.0,0.0,1.0,4,4,4.0,3.0,1.0,1.0,2,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3,2,4,3,22,9,9,9
0.0,1.0,16,1.0,0.0,1.0,3,3,2.0,3.0,1.0,0.0,2,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,4,2,5,0,13,14,13
1.0,0.0,17,1.0,1.0,1.0,4,4,0.0,0.0,0.0,1.0,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,4,1,0,16,15,15
0.0,1.0,18,1.0,0.0,1.0,4,3,4.0,2.0,0.0,1.0,1,3,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,4,5,5,0,10,10,9
1.0,0.0,17,0.0,0.0,1.0,3,1,0.0,2.0,3.0,1.0,1,2,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4,5,4,1,17,10,10,10
0.0,0.0,18,1.0,0.0,1.0,1,1,2.0,2.0,1.0,1.0,2,2,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,4,4,4,4,8,9,10
1.0,0.0,17,1.0,1.0,0.0,3,2,3.0,2.0,3.0,1.0,2,2,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,2,3,5,2,12,12,11
0.0,1.0,17,0.0,1.0,1.0,1,1,2.0,3.0,0.0,1.0,4,2,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5,3,5,5,0,5,8,7
0.0,1.0,22,1.0,0.0,1.0,3,1,3.0,3.0,2.0,1.0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,4,5,1,16,6,8,8
0.0,1.0,17,0.0,0.0,1.0,3,4,0.0,2.0,0.0,1.0,3,2,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5,4,5,5,0,10,0,0
0.0,0.0,17,1.0,0.0,1.0,4,4,2.0,4.0,0.0,1.0,1,1,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4,2,1,4,0,11,11,12
0.0,0.0,16,1.0,1.0,1.0,4,4,4.0,4.0,3.0,1.0,1,2,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4,5,2,3,0,9,9,10
0.0,1.0,16,0.0,1.0,1.0,3,3,4.0,2.0,1.0,0.0,3,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,3,4,3,8,9,9,10
1.0,0.0,19,0.0,0.0,1.0,2,3,3.0,2.0,0.0,1.0,1,3,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5,4,2,5,0,7,5,0
